Unnamed: 0,track_id,track_name,track_popularity,track_album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,album_id,album_name,album_image,main_artist_id,artist,genres
410,3Dah48XTdzVtbIl4dUn6l4,Get A Guitar,67,2023-09-04,0.9,0.62,1,-5.101,1,0.0716,0.128,9.02e-06,0.1,0.902,109.987,160371,4QzCT76QtPCyLinchwVt8l,Get A Guitar,https://i.scdn.co/image/ab67616d0000b2738773ae7641a2ee7d8b9e532e,2jOm3cYujQx6o1dxuiuqaX,riize,5th gen kpop
411,0djkJ3iAARXRCbfbwwVc3o,Love wins all,78,2024-01-24,0.496,0.447,0,-5.878,1,0.0317,0.82,0.0,0.098,0.315,101.132,271080,2bwwRhKbLeD3LvNDXauV2T,Love wins all,https://i.scdn.co/image/ab67616d0000b273b79a12d47af18d1d83a5caf9,3HqSLMAZ3g3d5poNaI7GOU,iu,kpop pop
412,0mWVScJbxO3tbXuiZOxYZE,"So Long, London",0,2024-04-18,0.488,0.545,9,-11.388,1,0.317,0.73,0.0046,0.0832,0.301,160.096,262974,3f6e4wXxxi4ahqWsSU7OpT,THE TORTURED POETS DEPARTMENT,https://i.scdn.co/image/ab67616d0000b27308c74a3a99b01a6d3933b169,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
413,05msZuGKP3OCUGQnvLBOf4,My Boy Only Breaks His Favorite Toys,0,2024-04-18,0.593,0.582,0,-7.392,1,0.0285,0.165,0.0,0.31,0.436,97.079,203801,3f6e4wXxxi4ahqWsSU7OpT,THE TORTURED POETS DEPARTMENT,https://i.scdn.co/image/ab67616d0000b27308c74a3a99b01a6d3933b169,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
414,1GP8VW5Wk2w2obkWjGCGXd,So High School,0,2024-04-19,0.362,0.861,7,-4.558,1,0.0486,0.0333,2.15e-06,0.103,0.348,176.185,228800,1d8W5sDOh6xY7y6UYp2rcg,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b273335d581b7a70f0fa41f6520b,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
415,1m7Fep6Dm8SG58ns8NLZhm,Chloe or Sam or Sophia or Marcus,0,2024-04-19,0.459,0.454,0,-8.487,1,0.05,0.784,0.0,0.105,0.265,70.391,213281,1d8W5sDOh6xY7y6UYp2rcg,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b273335d581b7a70f0fa41f6520b,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
416,2AS8i1xuWmeWGBBwI69vfn,How Did It End?,0,2024-04-19,0.434,0.387,0,-8.88,1,0.0273,0.808,0.0011,0.109,0.245,83.68,238706,1d8W5sDOh6xY7y6UYp2rcg,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b273335d581b7a70f0fa41f6520b,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
417,2CnjDMdpRjlWv04Xk3s6MW,Robin,0,2024-04-19,0.462,0.381,0,-10.548,1,0.0295,0.775,0.000516,0.102,0.149,138.194,240893,5H7ixXZfsNMGbIE5OBSpcb,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,https://i.scdn.co/image/ab67616d0000b2738ecc33f195df6aa257c39eaa,06HL4z0CvFAxyc27GXpf02,taylor swift,pop
418,3cBsEDNhFI9E82vPj3kvi3,Wasted On You,85,2021-01-08,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,178520,6JlCkqkqobGirPsaleJpFr,Dangerous: The Double Album,https://i.scdn.co/image/ab67616d0000b2737d6813fd233f3bc4977cceca,4oUHIQIBe0LHzYfvXNW4QM,morgan wallen,contemporary country
419,6rjuKpPydT2SxN15TZpV7r,500lbs,84,2023-09-22,0.722,0.785,7,-5.451,0,0.0763,0.0942,0.0,0.119,0.529,122.986,144390,4EURMuWFiLLRmQYoH5cgiE,TEC,https://i.scdn.co/image/ab67616d0000b273c4e6adea69105e6b6e214b96,4Ga1P7PMIsmqEZqhYZQgDo,lil tecca,melodic rap pluggnb rap
420,7aQ1tSYr518KwnE4SVSQbT,Whatever She Wants [BONUS],70,2024-04-05,0.803,0.512,9,-6.871,0,0.066,0.128,0.0,0.0928,0.435,96.02,161342,0frVQ5nctt6zS9ZR1g5HMX,Bryson Tiller,https://i.scdn.co/image/ab67616d0000b2735b7314bd0c9cab582954878a,2EMAnMvWE2eb56ToJVfCWs,bryson tiller,kentucky hip hop rb rap
421,2kE2HFBFkJ0VMw3igxYohz,Wild Ones (feat. Jelly Roll),84,2023-10-06,0.65,0.689,0,-3.543,1,0.0449,0.0878,0.0,0.172,0.294,136.03,141367,5yLgEnZGrpgxjmARNWP56g,Wild Ones (feat. Jelly Roll),https://i.scdn.co/image/ab67616d0000b27314408503d0bb34c929cdc2b3,2yLzlEFtIS0Q9UkyBZdQA7,jessie murph jelly roll,modern country pop singersongwriter pop
422,4Dx4e0X5dR6TW85dtFU42x,Red Leather,69,2024-04-12,0.63,0.64,6,-4.794,1,0.39,0.53,0.00283,0.104,0.561,111.846,414893,3bSNhnaQQXpC639OQ4pMyP,WE STILL DON'T TRUST YOU,https://i.scdn.co/image/ab67616d0000b273d353552c4c2932094456bbe9,1RyvyyTE3xzB2ZywiAwp0i,future metro boomin j cole,atl hip hop hip hop rap southern hip hop trap
423,2BOpFmZQ89Rjm2wvmud1MU,Out Of My Hands,70,2024-04-12,0.825,0.518,5,-6.984,0,0.0973,0.149,0.0,0.115,0.421,122.06,243040,3bSNhnaQQXpC639OQ4pMyP,WE STILL DON'T TRUST YOU,https://i.scdn.co/image/ab67616d0000b273d353552c4c2932094456bbe9,1RyvyyTE3xzB2ZywiAwp0i,future metro boomin,atl hip hop hip hop rap southern hip hop trap
